epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,567,738,1.30158730159,0.36843481048
2,214,3346,15.6355140187,0.718026283276
3,192,3182,16.5729166667,1.14427538879
4,148,4241,28.6554054054,1.50518548502
5,123,4928,40.0650406504,1.68874274466
6,104,5292,50.8846153846,1.93234247108
7,104,6040,58.0769230769,2.27827024561
8,97,6548,67.5051546392,2.39903194096
9,94,7693,81.8404255319,2.70313907878
10,91,8929,98.1208791209,2.76570787445
11,92,9462,102.847826087,2.9176724251
12,88,10985,124.829545455,2.91221299633
13,86,9989,116.151162791,3.01311243076
14,88,10818,122.931818182,3.06821291344
15,84,13672,162.761904762,3.24482532807
16,84,12356,147.095238095,3.36358315028
17,80,13404,167.55,3.24681333367
18,79,15772,199.64556962,3.25893208675
19,80,15122,189.025,3.18837909651
20,77,15487,201.12987013,3.28581904227
21,79,14403,182.316455696,3.12909301212
22,79,15763,199.53164557,3.09406686023
23,77,16631,215.987012987,3.1117823912
24,73,15072,206.465753425,3.15902566096
25,78,15943,204.397435897,3.17242181986
26,75,16248,216.64,3.19964837234
27,76,17256,227.052631579,3.15654285247
28,77,16755,217.597402597,3.00059952417
29,78,17088,219.076923077,3.12370408006
30,81,16325,201.543209877,3.11247669854
31,77,17463,226.792207792,3.22384516869
32,77,17168,222.961038961,3.04469175553
33,74,17339,234.310810811,3.05418606089
34,79,17840,225.82278481,2.96839165347
35,77,16525,214.61038961,3.08285731153
36,79,17223,218.012658228,3.06443064088
37,75,16047,213.96,3.06478814195
38,80,17257,215.7125,3.02472800111
39,74,17773,240.175675676,3.08911841832
40,78,17497,224.320512821,3.08221455655
41,77,17525,227.597402597,3.0511787343
42,78,18090,231.923076923,3.11698868658
43,77,17919,232.714285714,2.99919712274
44,81,19507,240.827160494,2.94021089966
45,77,18184,236.155844156,2.99393438221
46,78,17666,226.487179487,2.96227813504
47,79,18230,230.759493671,2.93194458404
48,74,18020,243.513513514,2.92778375133
49,82,18627,227.158536585,2.99621721201
50,76,18191,239.355263158,2.96240005069
