epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,583,1087,1.86449399657,0.380570607316
2,317,1614,5.09148264984,0.497887166326
3,230,3029,13.1695652174,1.08243452942
4,206,3088,14.9902912621,1.30598098494
5,175,3574,20.4228571429,1.48393943459
6,157,3857,24.5668789809,1.64316162036
7,166,3423,20.6204819277,1.94188736463
8,142,3905,27.5,2.27462706068
9,132,4333,32.8257575758,2.69367947219
10,110,4823,43.8454545455,2.82241833665
11,107,4935,46.1214953271,3.00715780688
12,106,4926,46.4716981132,2.97847845247
13,101,5327,52.7425742574,3.02818990149
14,108,6143,56.8796296296,3.17877706531
15,109,5092,46.7155963303,3.22384936383
16,103,5001,48.5533980583,3.32972669946
17,98,5768,58.8571428571,3.29024847707
18,97,6362,65.587628866,3.32982975427
19,98,7287,74.3571428571,3.23086487904
20,94,6864,73.0212765957,3.11750325102
21,93,6541,70.3333333333,3.20071232332
22,91,7011,77.043956044,3.28379332114
23,94,7207,76.670212766,3.23937344762
24,97,6601,68.0515463918,3.42436039871
25,90,7317,81.3,3.37057167953
26,93,7297,78.4623655914,3.41855610115
27,97,6768,69.7731958763,3.48830307221
28,90,8184,90.9333333333,3.57198480029
29,89,7904,88.808988764,3.53879722467
30,89,8180,91.9101123596,3.51285947628
31,93,7743,83.2580645161,3.51074296385
32,87,9075,104.310344828,3.32946181641
33,93,9124,98.1075268817,3.31921547381
34,92,8174,88.847826087,3.06834687378
35,92,8071,87.7282608696,3.27367343001
36,92,9467,102.902173913,3.23459621059
37,90,9536,105.955555556,3.2524491512
38,87,9749,112.057471264,3.10037425978
39,87,10927,125.597701149,3.10090116667
40,91,10981,120.67032967,3.15787860619
41,89,10805,121.404494382,3.28876406809
42,92,9950,108.152173913,3.10331394169
43,91,10934,120.153846154,3.10337365039
44,92,9939,108.032608696,3.14990477104
45,86,11014,128.069767442,3.16664999917
46,89,9750,109.550561798,3.24774321719
47,88,10551,119.897727273,3.27486204583
48,86,9502,110.488372093,3.29837358265
49,84,10584,126.0,3.12889325467
50,91,10132,111.340659341,3.06403733407
51,85,10612,124.847058824,3.02318430622
52,88,10379,117.943181818,2.93489254707
53,89,9587,107.719101124,2.99365040209
54,87,10535,121.091954023,3.00149392284
55,87,11469,131.827586207,3.06426528768
56,85,11235,132.176470588,3.03588571225
57,84,12218,145.452380952,3.00806498266
58,89,10889,122.348314607,3.09493308822
59,86,11681,135.825581395,2.98859606494
60,86,12068,140.325581395,3.10245616302
61,90,9563,106.255555556,3.11750101384
62,88,12450,141.477272727,3.04862765604
63,84,10627,126.511904762,3.02137042765
64,87,11376,130.75862069,3.13500864146
65,94,10285,109.414893617,3.20345421217
66,84,11893,141.583333333,3.14078097541
67,85,12061,141.894117647,3.09240643618
68,87,10381,119.32183908,3.17170189244
69,89,9944,111.730337079,3.11684800856
70,82,10793,131.62195122,3.1238186824
71,84,11409,135.821428571,3.07786826604
72,84,11079,131.892857143,3.1195195327
73,82,11073,135.036585366,3.21815513953
74,80,13137,164.2125,3.18239918994
75,82,12886,157.146341463,3.09832176062
76,82,12474,152.12195122,3.07057776971
77,83,11760,141.686746988,3.10799235937
78,81,13082,161.50617284,3.07924482602
79,85,11444,134.635294118,3.03347280543
80,87,11704,134.528735632,3.06125261067
81,84,11780,140.238095238,3.1880613109
82,85,12531,147.423529412,3.18168616164
83,85,12355,145.352941176,3.08379273526
84,84,11673,138.964285714,2.92820939106
85,82,12077,147.280487805,2.93375501733
86,78,11261,144.371794872,2.88407329402
87,86,12263,142.593023256,2.96354689342
88,82,12811,156.231707317,3.01762772974
