epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,46,43285,940.97826087,0.451780317079
2,46,41760,907.826086957,0.901770570048
3,46,41040,892.173913043,1.51956559492
4,46,36985,804.02173913,2.22925937364
5,46,48265,1049.23913043,2.58573770748
6,46,44625,970.108695652,3.0567654443
7,46,62500,1358.69565217,3.26448058843
8,46,67360,1464.34782609,3.50026924083
9,46,69870,1518.91304348,3.48628126338
10,46,82005,1782.7173913,3.68647182511
11,46,81855,1779.45652174,3.82424699828
12,46,73500,1597.82608696,3.88440203499
13,46,74520,1620.0,3.78705777345
14,46,85425,1857.06521739,3.87409882277
15,46,79285,1723.58695652,3.82134063324
16,46,73880,1606.08695652,3.87376751926
17,46,86110,1871.95652174,4.01307090929
18,46,89575,1947.2826087,4.12665369766
19,46,98075,2132.06521739,4.10638648832
20,46,97900,2128.26086957,4.13420149099
21,46,99260,2157.82608696,4.10888189698
22,46,99065,2153.58695652,4.05321653197
23,46,98005,2130.54347826,4.11471128767
24,46,108120,2350.43478261,4.12426641669
25,46,106095,2306.41304348,4.18144470453
26,46,107845,2344.45652174,4.23441059051
27,46,110060,2392.60869565,4.24178593896
28,46,108155,2351.19565217,4.16811742183
29,46,135870,2953.69565217,4.19896380778
30,46,126735,2755.10869565,4.23767780855
31,46,129020,2804.7826087,4.30983679332
32,46,147855,3214.23913043,4.38685477767
33,46,119005,2587.06521739,4.42105171882
34,46,140825,3061.41304348,4.44857072677
35,46,141080,3066.95652174,4.31682177622
36,46,142110,3089.34782609,4.28498466344
37,46,142505,3097.93478261,4.33190339121
38,46,145685,3167.06521739,4.32958884635
39,46,156835,3409.45652174,4.43256076224
40,46,146690,3188.91304348,4.49171321702
41,46,152040,3305.2173913,4.53767260457
42,46,154740,3363.91304348,4.57068634018
43,46,156675,3405.97826087,4.48085377172
44,46,158410,3443.69565217,4.44065957438
45,46,166625,3622.2826087,4.39083789804
46,46,149305,3245.76086957,4.32567337282
47,46,154765,3364.45652174,4.37462645032
48,46,173575,3773.36956522,4.42751597361
49,46,161845,3518.36956522,4.43958781002
50,46,159835,3474.67391304,4.4024279443
51,46,166765,3625.32608696,4.35591838174
52,46,167005,3630.54347826,4.32160749486
53,46,162310,3528.47826087,4.36196511507
54,46,172765,3755.76086957,4.42164187224
55,46,158130,3437.60869565,4.31187666938
56,46,161930,3520.2173913,4.36357196982
57,46,166335,3615.97826087,4.46124456792
58,46,172165,3742.7173913,4.43100572343
59,46,181730,3950.65217391,4.50893881223
60,46,177715,3863.36956522,4.4164147126
61,46,169505,3684.89130435,4.53370126736
62,46,175050,3805.43478261,4.47194591336
63,46,180670,3927.60869565,4.43936062618
64,46,187205,4069.67391304,4.48976502959
65,46,182395,3965.10869565,4.45640450696
66,46,181660,3949.13043478,4.35153663333
67,46,181545,3946.63043478,4.43694745918
68,46,187705,4080.54347826,4.41685172993
69,46,188720,4102.60869565,4.39449548968
70,46,190460,4140.43478261,4.41899784335
71,46,185200,4026.08695652,4.4083748943
72,46,201365,4377.5,4.32665763512
73,46,179140,3894.34782609,4.3684853794
74,46,201800,4386.95652174,4.39170694197
75,46,198595,4317.2826087,4.33706617387
76,46,196710,4276.30434783,4.35685954289
77,46,203080,4414.7826087,4.42295837855
78,46,191085,4154.02173913,4.47395807932
79,46,218175,4742.93478261,4.4328584485
80,46,202285,4397.5,4.38439818453
81,46,208395,4530.32608696,4.32952845934
82,46,200060,4349.13043478,4.3466378021
83,46,203065,4414.45652174,4.39683233183
84,46,199450,4335.86956522,4.34844388891
85,46,182125,3959.23913043,4.35504062493
86,46,190485,4140.97826087,4.45366208701
87,46,193570,4208.04347826,4.38452336669
88,46,201985,4390.97826087,4.31819206097
89,46,194865,4236.19565217,4.27631783335
90,46,216580,4708.26086957,4.29847076957
91,46,207780,4516.95652174,4.34011588417
92,46,212820,4626.52173913,4.37131265494
93,46,222115,4828.58695652,4.32117979465
94,46,199635,4339.89130435,4.3701194461
95,46,213845,4648.80434783,4.35886521714
96,46,222515,4837.2826087,4.34516358353
97,46,209230,4548.47826087,4.42446158681
98,46,205765,4473.15217391,4.37433135496
99,46,204450,4444.56521739,4.43373410505
100,46,212680,4623.47826087,4.48474270547
101,46,224310,4876.30434783,4.38521864298
102,46,213490,4641.08695652,4.47324105745
103,46,223785,4864.89130435,4.54172415575
104,46,211645,4600.97826087,4.60886728655
105,46,195900,4258.69565217,4.54965727667
106,46,208605,4534.89130435,4.57878195626
107,46,223790,4865.0,4.59148577887
108,46,218060,4740.43478261,4.5776132109
109,46,216255,4701.19565217,4.63425307482
110,46,210095,4567.2826087,4.71436999241
111,46,207070,4501.52173913,4.63993968849
112,46,229475,4988.58695652,4.62154726605
113,46,210055,4566.41304348,4.5552060432
114,46,215465,4684.02173913,4.53678534049
115,46,216280,4701.73913043,4.53782338666
116,46,223680,4862.60869565,4.52670073919
117,46,212225,4613.58695652,4.48251888169
118,46,234205,5091.41304348,4.55344579569
119,46,227855,4953.36956522,4.60625184705
120,46,234140,5090.0,4.51635232847
121,46,221825,4822.2826087,4.50253156641
122,46,215590,4686.73913043,4.48142388536
123,46,225505,4902.2826087,4.50315530539
124,46,217125,4720.10869565,4.51822660251
125,46,234305,5093.58695652,4.42900466637
126,46,209485,4554.02173913,4.4816566776
127,46,223225,4852.7173913,4.46574389105
128,46,240975,5238.58695652,4.46880769019
129,46,222430,4835.43478261,4.56197313886
130,46,223955,4868.58695652,4.57830871794
131,46,215635,4687.7173913,4.55626333835
132,46,233310,5071.95652174,4.53693471236
133,46,230935,5020.32608696,4.59087669184
134,46,239795,5212.93478261,4.61878788327
135,46,209880,4562.60869565,4.65297479152
136,46,213385,4638.80434783,4.67147359534
137,46,230395,5008.58695652,4.64059804122
138,46,216215,4700.32608696,4.58177945434
139,46,240230,5222.39130435,4.54590155273
140,46,242565,5273.15217391,4.62073600527
141,46,232720,5059.13043478,4.61113453083
142,46,209595,4556.41304348,4.66599064453
143,46,228200,4960.86956522,4.66714066936
144,46,201690,4384.56521739,4.65132283242
145,46,229155,4981.63043478,4.63703840296
146,46,220185,4786.63043478,4.60087013108
147,46,221450,4814.13043478,4.57385896271
148,46,256600,5578.26086957,4.55235344946
149,46,227155,4938.15217391,4.58540816876
150,46,249220,5417.82608696,4.56597174545
151,46,243110,5285.0,4.63708728471
152,46,238995,5195.54347826,4.64440032287
153,46,232370,5051.52173913,4.70312996808
154,46,259620,5643.91304348,4.676146331
155,46,236985,5151.84782609,4.57585723473
