epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,207,16320,78.8405797101,0.300012566177
2,97,37100,382.474226804,0.84630488165
3,99,42480,429.090909091,1.47423723185
4,125,38820,310.56,1.9327005932
5,139,40040,288.057553957,2.16332477592
6,80,42800,535.0,2.38095274566
7,121,42340,349.917355372,2.45494002753
8,87,42780,491.724137931,2.57033163381
9,108,44200,409.259259259,2.54102362603
10,94,45260,481.489361702,2.67841795348
11,142,44460,313.098591549,2.70348357893
12,83,46820,564.096385542,2.73478175637
13,133,57100,429.323308271,2.92539754352
14,128,60320,471.25,3.05813081486
15,120,69200,576.666666667,3.16993999585
16,86,82420,958.372093023,3.40307406083
17,92,89160,969.130434783,3.62064475666
18,87,84940,976.32183908,3.86449659686
19,82,87040,1061.46341463,4.01965418174
20,68,101820,1497.35294118,4.31155725415
21,74,107420,1451.62162162,4.44283069377
22,66,119920,1816.96969697,4.67615497179
23,69,109780,1591.01449275,4.77637524212
24,70,107580,1536.85714286,4.84601328425
25,66,117540,1780.90909091,4.95680339109
26,63,118940,1887.93650794,4.9180177779
27,64,122880,1920.0,4.99973904397
28,64,124000,1937.5,5.15848519886
29,59,128660,2180.6779661,5.11663556421
30,60,130340,2172.33333333,5.20052971398
31,65,123920,1906.46153846,5.30137768798
32,62,124920,2014.83870968,5.43042973234
33,61,128760,2110.81967213,5.60637840609
34,57,130000,2280.70175439,5.63182055358
35,58,130080,2242.75862069,5.7103848951
36,61,129360,2120.6557377,5.71392363894
37,67,127220,1898.80597015,5.6462977263
38,68,134170,1973.08823529,5.49759917728
39,73,136090,1864.24657534,5.47170456767
40,70,141540,2022.0,5.44335411987
41,64,145920,2280.0,5.63269519632
42,65,149290,2296.76923077,5.76021290095
43,64,153970,2405.78125,5.86834212197
44,62,154290,2488.5483871,5.94987281179
45,68,147540,2169.70588235,5.96326304521
46,61,157100,2575.40983607,5.93116184451
47,61,162500,2663.93442623,6.00245703101
48,60,166410,2773.5,5.97240528676
49,61,161050,2640.16393443,6.09519314355
50,61,160320,2628.19672131,6.06683659092
51,63,173920,2760.63492063,6.15145142509
52,68,171420,2520.88235294,6.2517751404
53,62,184070,2968.87096774,6.27928990892
54,62,180560,2912.25806452,6.32154342656
55,58,176360,3040.68965517,6.3778199169
56,59,164950,2795.76271186,6.47033286006
57,59,201630,3417.45762712,6.41820476807
58,60,200660,3344.33333333,6.41942516549
59,62,195540,3153.87096774,6.43395341039
60,60,192070,3201.16666667,6.45130517693
61,57,228320,4005.61403509,6.3996759391
62,58,192270,3315.0,6.4028709312
63,54,225150,4169.44444444,6.38245333239
64,60,217530,3625.5,6.41696985902
65,57,212980,3736.49122807,6.38264857603
66,59,228380,3870.84745763,6.45866469585
67,59,249990,4237.11864407,6.46470724799
68,56,234490,4187.32142857,6.48276110529
69,58,234350,4040.51724138,6.41752723978
70,59,213470,3618.13559322,6.45230593037
71,59,238970,4050.33898305,6.40376411487
72,57,231910,4068.59649123,6.36494708383
73,54,255000,4722.22222222,6.30740697349
74,52,268670,5166.73076923,6.33449452219
75,58,243500,4198.27586207,6.3094136018
76,52,278550,5356.73076923,6.36970469671
77,55,256760,4668.36363636,6.3584101331
78,56,274320,4898.57142857,6.37302622254
79,55,261540,4755.27272727,6.38481035872
80,55,264830,4815.09090909,6.39788672554
81,55,265470,4826.72727273,6.36567123106
82,56,266130,4752.32142857,6.43028572798
83,60,243350,4055.83333333,6.53650769686
84,59,244300,4140.6779661,6.47715585541
85,55,245360,4461.09090909,6.46040575325
86,57,248680,4362.80701754,6.42562393677
87,59,241670,4096.10169492,6.42798493759
88,59,266470,4516.44067797,6.37231912988
89,59,286610,4857.79661017,6.41173207904
90,55,279250,5077.27272727,6.42412634391
91,58,241860,4170.0,6.43988479726
92,58,242260,4176.89655172,6.39961453454
93,54,283720,5254.07407407,6.514383041
94,59,256380,4345.42372881,6.42981477626
95,54,284680,5271.85185185,6.48416034823
96,59,273970,4643.55932203,6.49565096368
97,55,270330,4915.09090909,6.48959607884
98,59,265110,4493.38983051,6.41284802706
99,57,277470,4867.89473684,6.42958324064
100,53,275510,5198.30188679,6.50538974128
101,55,271910,4943.81818182,6.55939141017
102,57,282000,4947.36842105,6.44094070201
103,55,273480,4972.36363636,6.47524083318
104,62,263760,4254.19354839,6.46992921666
105,53,293390,5535.66037736,6.4762222887
106,53,297130,5606.22641509,6.44126057995
107,50,286050,5721.0,6.4910367858
108,54,308800,5718.51851852,6.55212662135
109,53,276620,5219.24528302,6.59814407926
110,59,287310,4869.66101695,6.56149117886
111,57,272340,4777.89473684,6.55171238572
112,55,302280,5496.0,6.51420129173
113,56,266020,4750.35714286,6.49352901185
114,55,300350,5460.90909091,6.46957923244
115,55,309530,5627.81818182,6.49784179931
116,53,303660,5729.43396226,6.5851109883
117,55,313210,5694.72727273,6.73236728439
118,56,284670,5083.39285714,6.61310794596
119,54,310510,5750.18518519,6.57337865482
120,56,288570,5153.03571429,6.58497521968
121,54,282820,5237.40740741,6.58500795678
122,63,283180,4494.92063492,6.51565156644
123,54,328210,6077.96296296,6.55247785443
124,54,296040,5482.22222222,6.48152851112
125,55,295510,5372.90909091,6.4949506573
126,56,301580,5385.35714286,6.56233032084
127,51,299370,5870.0,6.56163992664
128,52,337280,6486.15384615,6.5231028958
129,52,297130,5714.03846154,6.57445309264
130,53,329130,6210.0,6.60676939145
131,48,308580,6428.75,6.66121159452
132,56,300840,5372.14285714,6.61320127614
133,60,294470,4907.83333333,6.61724219207
134,51,305080,5981.96078431,6.59338052719
135,50,268290,5365.8,6.60785171682
136,52,315660,6070.38461538,6.59745818741
137,52,318020,6115.76923077,6.5813472125
138,51,302730,5935.88235294,6.57335147686
139,55,300460,5462.90909091,6.60408717504
140,56,298400,5328.57142857,6.589776643
141,56,308090,5501.60714286,6.57604471156
142,50,302400,6048.0,6.6362209351
143,56,302570,5403.03571429,6.51960290494
144,53,325150,6134.90566038,6.49849306233
145,50,342840,6856.8,6.57818587556
146,52,343690,6609.42307692,6.57962055326
147,52,313130,6021.73076923,6.55972930505
148,55,324410,5898.36363636,6.55200781173
149,55,304450,5535.45454545,6.54852457508
150,47,357930,7615.53191489,6.63284052334
151,49,363250,7413.26530612,6.66345040764
152,48,310100,6460.41666667,6.62961075153
153,50,346420,6928.4,6.55027879953
154,54,354410,6563.14814815,6.63298396839
155,51,311280,6103.52941176,6.58791984161
156,52,338340,6506.53846154,6.60184801441
157,57,322760,5662.45614035,6.64122799221
