epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,265,448,1.69056603774,0.273473415491
2,243,492,2.02469135802,0.204116515361
3,391,718,1.83631713555,0.248657872317
4,253,429,1.69565217391,0.308954639788
5,289,1005,3.47750865052,0.386758140878
6,409,1402,3.42787286064,0.450390307485
7,328,1848,5.63414634146,0.555252327549
8,312,2618,8.39102564103,0.649729954509
9,281,2750,9.78647686833,0.761098681662
10,245,3116,12.7183673469,1.13794282112
11,217,3302,15.2165898618,1.34783184525
12,184,3634,19.75,1.52733898512
13,187,3994,21.3582887701,1.65454927482
14,174,4047,23.2586206897,1.81310038163
15,166,3861,23.2590361446,2.00675362122
16,167,4758,28.4910179641,2.11394688634
17,146,4561,31.2397260274,2.14043363711
18,123,5347,43.4715447154,2.16617153294
19,125,5053,40.424,2.2020632843
20,110,6598,59.9818181818,2.40745976234
21,109,5713,52.4128440367,2.53637501298
22,104,6261,60.2019230769,2.39124420004
23,102,6412,62.862745098,2.49770373062
24,100,7213,72.13,2.60075107435
25,93,8995,96.7204301075,2.64798311981
26,94,9442,100.446808511,2.51505268295
27,87,8760,100.689655172,2.58262347206
28,95,8661,91.1684210526,2.58150050049
29,88,10239,116.352272727,2.64976894778
30,84,10679,127.130952381,2.75378419792
31,87,12893,148.195402299,2.80239217708
32,79,15198,192.379746835,2.73495221529
33,79,15513,196.367088608,2.57519748974
34,80,15657,195.7125,2.59482242766
35,78,14163,181.576923077,2.79783339097
36,78,15520,198.974358974,3.05344386934
37,73,16765,229.657534247,3.03556363023
38,82,14648,178.634146341,2.94077260083
39,76,17040,224.210526316,2.86192867777
40,73,18695,256.095890411,2.82322664199
41,74,16313,220.445945946,2.80413815762
42,80,14572,182.15,2.80187887469
43,75,13641,181.88,2.85425810958
44,72,18764,260.611111111,2.92897417693
45,66,19444,294.606060606,2.82791389035
46,68,18911,278.102941176,2.98342447102
47,66,20312,307.757575758,2.83822918104
48,82,15361,187.329268293,3.01032677205
49,70,18328,261.828571429,2.96059432773
50,64,19413,303.328125,3.01365701923
51,61,19534,320.229508197,3.00483876266
52,64,19972,312.0625,3.04115009185
53,89,11905,133.764044944,2.86757075838
54,61,19749,323.754098361,2.92025023423
55,66,18047,273.439393939,2.84882887936
56,63,19837,314.873015873,2.83429887689
57,66,19531,295.924242424,2.94530132557
58,62,20784,335.225806452,3.15482842892
59,62,20973,338.274193548,2.886375596
60,59,20588,348.949152542,2.92278214817
61,65,21583,332.046153846,2.93088695367
62,62,19104,308.129032258,2.9783152415
63,60,19062,317.7,3.0543726022
64,62,20538,331.258064516,3.10203599341
65,58,19227,331.5,2.98919060735
66,69,20521,297.405797101,3.02096865978
67,59,19851,336.457627119,2.99734729945
68,64,21521,336.265625,2.9472973723
69,64,21047,328.859375,2.83868179671
70,68,20290,298.382352941,2.80615449615
71,67,21167,315.925373134,2.83351326211
72,74,15888,214.702702703,2.97051500226
73,64,21925,342.578125,2.89767883266
74,60,20142,335.7,2.83202285066
