epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,194,34720,178.969072165,0.420920109786
2,270,48895,181.092592593,0.838135825787
3,208,47685,229.254807692,1.40811802162
4,193,60640,314.196891192,2.32072419971
5,183,65935,360.300546448,2.74257300082
6,179,66465,371.312849162,3.0886719824
7,165,69295,419.96969697,3.27903525149
8,163,74390,456.380368098,3.50433824914
9,158,76950,487.025316456,3.81385316683
10,149,72740,488.187919463,4.06969627279
11,153,70650,461.764705882,4.39372152406
12,146,74410,509.657534247,4.57036853912
13,145,73920,509.793103448,4.65105293478
14,154,77255,501.655844156,4.77384134847
15,141,74080,525.390070922,4.78507758601
16,142,76515,538.838028169,4.91809756583
17,138,76250,552.536231884,4.95587432004
18,144,75850,526.736111111,4.99880769585
19,137,73025,533.02919708,4.96363449317
20,137,71700,523.357664234,4.78400622423
21,135,77865,576.777777778,4.79271529805
22,141,79795,565.921985816,4.77601429021
23,136,77360,568.823529412,4.75358743431
24,137,78305,571.569343066,4.80081547547
25,135,79190,586.592592593,4.76734611406
26,137,76705,559.890510949,4.84883661589
27,137,78420,572.408759124,4.90524577907
28,137,79530,580.510948905,4.79502995839
29,134,77400,577.611940299,4.8843441657
30,138,79190,573.84057971,4.78648497027
31,141,82595,585.780141844,4.72138782749
32,138,78870,571.52173913,4.84014953733
33,132,80280,608.181818182,4.76734040611
34,139,82995,597.086330935,4.72367716242
35,137,83345,608.357664234,4.68010145597
36,135,81885,606.555555556,4.85767210408
37,130,85720,659.384615385,4.90879633334
38,133,81055,609.436090226,4.79391767514
39,130,81990,630.692307692,4.85618471993
40,122,82000,672.131147541,4.74279034464
41,125,81330,650.64,4.76394766421
42,120,83190,693.25,4.83294139987
43,136,83650,615.073529412,4.86102680899
44,130,82095,631.5,4.88519633262
45,136,83065,610.772058824,4.81382512653
46,134,85495,638.02238806,4.99823079554
47,130,82510,634.692307692,5.05802136509
48,136,81445,598.860294118,4.94481093891
49,136,83125,611.213235294,5.03123504035
50,133,82365,619.285714286,5.03929607076
51,134,83050,619.776119403,5.09632611361
52,128,84775,662.3046875,4.96796863854
53,130,78710,605.461538462,4.96385005115
54,131,83370,636.41221374,4.98221362411
55,130,85865,660.5,4.77322394343
56,134,83400,622.388059701,4.92062464616
57,128,83080,649.0625,4.79360268805
58,133,84095,632.293233083,4.96611324117
59,136,86370,635.073529412,4.97219155622
60,127,84990,669.212598425,5.02485470487
61,139,86720,623.884892086,4.96497394108
62,140,84975,606.964285714,5.08715373453
63,130,87670,674.384615385,5.02827548587
64,136,85340,627.5,5.02322674615
65,133,90045,677.030075188,5.12467295601
66,138,88770,643.260869565,4.99773467463
67,131,88885,678.511450382,5.00583744577
68,132,87935,666.174242424,5.02446329381
69,126,88210,700.079365079,5.01420468507
70,130,89855,691.192307692,5.05136875969
71,127,85590,673.937007874,4.9697106293
72,135,87355,647.074074074,4.83809370578
73,129,84770,657.131782946,5.05917737275
74,127,90075,709.251968504,5.03316955517
75,125,87425,699.4,5.05398654087
76,124,89690,723.306451613,5.03779064996
77,131,89280,681.526717557,5.12018856932
78,136,85920,631.764705882,5.07799725231
79,134,88535,660.708955224,5.0634519356
80,131,88835,678.129770992,5.07561979074
81,123,87770,713.577235772,4.95937353991
82,129,88380,685.11627907,5.01298560763
83,131,85935,655.992366412,5.02333478127
84,135,90925,673.518518519,4.99980026844
85,132,91615,694.053030303,4.96904842888
86,131,91860,701.221374046,4.93572248691
87,127,89670,706.062992126,4.9612623845
88,137,89205,651.131386861,4.94308537252
89,134,91350,681.71641791,5.01801506401
90,131,87235,665.916030534,5.02505906603
91,134,89200,665.671641791,5.03000896765
92,127,89650,705.905511811,4.93903532505
93,128,90645,708.1640625,5.07273897125
94,122,87940,720.819672131,5.01331273829
95,133,93300,701.503759398,5.05454856406
96,127,91945,723.976377953,5.08652602784
97,125,87740,701.92,5.08664675859
98,129,91690,710.775193798,5.0328308612
