epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,98,6584,67.1836734694,0.878081792463
2,102,8911,87.362745098,1.41110784261
3,76,9550,125.657894737,1.85034350837
4,38,15275,401.973684211,2.35460395735
5,49,14598,297.918367347,2.68990236168
6,39,15313,392.641025641,3.07480935931
7,36,17381,482.805555556,3.28367343164
8,27,14680,543.703703704,3.40435163201
9,31,17839,575.451612903,3.51388545539
10,32,18853,589.15625,3.4534664216
11,20,17371,868.55,3.51351501058
12,24,19324,805.166666667,3.49607455081
13,29,18598,641.310344828,3.52765202832
14,34,18872,555.058823529,3.45923589348
15,25,18028,721.12,3.5940821978
16,29,19245,663.620689655,3.68803531058
17,33,18826,570.484848485,3.72109810155
18,39,17948,460.205128205,3.83169802427
19,33,19343,586.151515152,3.99587914825
20,34,17648,519.058823529,3.94670617361
21,24,19341,805.875,3.86112331134
22,27,19884,736.444444444,3.98965902288
23,30,21211,707.033333333,3.97377833018
24,25,21297,851.88,4.03641449989
25,30,21025,700.833333333,3.92084881857
26,25,19105,764.2,3.82932677049
27,29,20717,714.379310345,3.9581023641
28,35,19237,549.628571429,3.95912608519
29,35,18918,540.514285714,3.93244460563
30,34,18201,535.323529412,3.93346445802
31,31,20347,656.35483871,3.92139557062
32,26,21636,832.153846154,3.90867449408
33,32,19086,596.4375,4.03530787953
34,34,18831,553.852941176,4.08634561678
35,23,23158,1006.86956522,4.09191377495
36,24,23574,982.25,4.19562655882
37,42,19343,460.547619048,4.17157749898
38,34,19092,561.529411765,4.12297175256
39,35,19721,563.457142857,4.17729456076
40,31,20014,645.612903226,4.18021865577
41,29,21659,746.862068966,4.19802407451
42,23,23106,1004.60869565,4.19416423165
43,29,20035,690.862068966,4.11824022445
44,30,20004,666.8,4.17834246846
45,28,21026,750.928571429,4.27280095776
46,24,24563,1023.45833333,4.19732158409
47,26,22226,854.846153846,4.14744313996
48,27,21932,812.296296296,4.14295008645
49,34,20317,597.558823529,4.15460414564
50,35,20825,595.0,4.29902397614
51,34,20590,605.588235294,4.31207997402
52,25,21987,879.48,4.37007907222
53,31,21504,693.677419355,4.3197799041
54,27,21650,801.851851852,4.32336083763
55,26,22823,877.807692308,4.32181649877
56,36,19638,545.5,4.30735435951
57,28,21295,760.535714286,4.29196127655
58,29,21815,752.24137931,4.35670722574
59,25,21161,846.44,4.30464006657
60,38,18749,493.394736842,4.17016979368
61,34,20034,589.235294118,4.2605063463
62,30,20477,682.566666667,4.18900733037
63,27,22034,816.074074074,4.22704882713
64,34,19310,567.941176471,4.227945731
65,38,18620,490.0,4.2176244206
66,32,21741,679.40625,4.17824084284
67,39,18230,467.435897436,4.18605082264
68,32,20092,627.875,4.18526966292
69,39,18813,482.384615385,4.24904347021
70,33,20340,616.363636364,4.30128939431
71,38,18965,499.078947368,4.31113512875
72,35,19169,547.685714286,4.36957881068
73,33,19327,585.666666667,4.3329078869
74,37,19664,531.459459459,4.34581434036
75,24,21947,914.458333333,4.40693102296
76,29,19065,657.413793103,4.48413147894
77,32,21033,657.28125,4.47782613166
78,30,21679,722.633333333,4.5068597094
79,28,19309,689.607142857,4.48538712554
80,30,22457,748.566666667,4.49971677918
81,37,18789,507.810810811,4.5407531871
82,35,19276,550.742857143,4.59558723955
83,36,18638,517.722222222,4.54712606124
84,33,20072,608.242424242,4.5458977897
85,36,20844,579.0,4.50858869717
86,31,20860,672.903225806,4.46327521354
87,34,22559,663.5,4.44751415776
88,36,17985,499.583333333,4.33967501034
89,31,20667,666.677419355,4.46714450813
90,25,21411,856.44,4.55931516754
91,35,20756,593.028571429,4.58274061621
92,43,17007,395.511627907,4.6002389638
93,33,19863,601.909090909,4.5600150169
94,32,19194,599.8125,4.56055842206
95,39,18869,483.820512821,4.52403466277
96,32,21704,678.25,4.53698865609
97,35,20058,573.085714286,4.56369588845
98,32,20034,626.0625,4.54293001167
99,31,20356,656.64516129,4.58860951856
100,35,19506,557.314285714,4.6643708955
101,29,21693,748.034482759,4.77278935858
102,28,22240,794.285714286,4.78941630422
103,28,20826,743.785714286,4.7484006098
