epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,800,706,0.8825,0.244581868092
2,95,3451,36.3263157895,0.438894676685
3,80,4427,55.3375,0.882055023427
4,60,5067,84.45,1.17524300177
5,61,5309,87.0327868852,1.49322584912
6,55,4889,88.8909090909,1.81115713007
7,53,6120,115.471698113,1.95339536127
8,57,5777,101.350877193,2.03698745617
9,52,5741,110.403846154,2.17698000847
10,50,7531,150.62,2.26122173898
11,48,8962,186.708333333,2.32426087263
12,41,8318,202.87804878,2.3595584849
13,44,9648,219.272727273,2.35142644804
14,41,8623,210.317073171,2.33071067249
15,14,3536,252.571428571,2.27617625829
16,44,9315,211.704545455,2.25122572582
17,47,8722,185.574468085,2.22527173993
18,36,9029,250.805555556,2.1550230834
19,38,9778,257.315789474,2.14385973912
20,42,10873,258.880952381,2.17353015492
21,43,11033,256.581395349,2.21737929998
22,29,8652,298.344827586,2.24264566338
23,35,8903,254.371428571,2.30287384113
24,1,319,319.0,2.29595159787
25,32,10319,322.46875,2.25265094311
26,40,10432,260.8,2.30518589557
27,23,7211,313.52173913,2.20723764262
28,38,9632,253.473684211,2.2847301037
29,28,8489,303.178571429,2.18772529613
30,14,4237,302.642857143,2.18971096698
31,26,6610,254.230769231,2.13598336004
32,33,10638,322.363636364,2.1701490628
33,32,9396,293.625,2.17374896718
34,25,7782,311.28,2.16901203395
35,37,11287,305.054054054,2.22947967875
36,22,6423,291.954545455,2.19408480871
37,36,11258,312.722222222,2.25577750172
38,22,7282,331.0,2.27454891757
39,36,10713,297.583333333,2.20884164948
40,26,8680,333.846153846,2.19100689577
41,14,4597,328.357142857,2.21716479518
42,36,11784,327.333333333,2.19995413339
43,34,11884,349.529411765,2.23953622941
44,34,10882,320.058823529,2.25226245301
45,33,10597,321.121212121,2.25618382717
46,1,356,356.0,2.27206176113
47,36,10902,302.833333333,2.25174540823
48,19,6095,320.789473684,2.15896315818
49,36,11507,319.638888889,2.16228634964
50,23,7647,332.47826087,2.14773927527
51,37,11054,298.756756757,2.2046907037
52,36,11607,322.416666667,2.20627555755
